id,score,text,episode,start_time,end_time,start_frame,end_frame
yQulFI8BYtCDorbFC2yp,1.0,不是,1,"00:10:49,523","00:10:50,231",15572,15589
zAulFI8BYtCDorbFC2yp,1.0,結果不不行啊,1,"00:11:08,709","00:11:10,293",16032,16070
zQulFI8BYtCDorbFC2yp,1.0,怎麼辦呢,1,"00:11:12,046","00:11:13,213",16112,16140
zwulFI8BYtCDorbFC2yp,1.0,這附近有間叫 CiRCLE 的店,1,"00:11:18,469","00:11:20,512",16266,16315
0QulFI8BYtCDorbFC2yp,1.0,那家店叫 RING,1,"00:11:23,307","00:11:24,974",16382,16422
0gulFI8BYtCDorbFC2yp,1.0,我過去看看好了,1,"00:11:25,768","00:11:27,435",16441,16481
1QulFI8BYtCDorbFC2yp,1.0,奇怪? 她跑去哪裡了?,1,"00:11:45,329","00:11:47,288",16910,16957
2AulFI8BYtCDorbFC2yp,1.0,你跌倒了,1,"00:12:01,846","00:12:02,846",17306,17330
3QulFI8BYtCDorbFC2yp,1.0,我幫你把垃圾丟掉了喔,1,"00:12:22,074","00:12:24,033",17791,17838
4AulFI8BYtCDorbFC2yp,1.0,我可以用嗎,1,"00:12:38,507","00:12:39,799",18185,18216
4gulFI8BYtCDorbFC2yp,1.0,我喜歡企鵝,1,"00:12:43,554","00:12:44,554",18306,18330
5AulFI8BYtCDorbFC2yp,1.0,牠臉上不是有鬍鬚嗎,1,"00:12:46,557","00:12:48,141",18378,18416
5wulFI8BYtCDorbFC2yp,1.0,這個是阿德利企鵝,1,"00:12:51,979","00:12:53,730",18508,18550
6gulFI8BYtCDorbFC2yp,1.0,我覺得 牠們 很可愛,1,"00:13:02,406","00:13:06,409",18758,18854
7gulFI8BYtCDorbFC2yp,1.0,不過我好像也懂,1,"00:13:15,419","00:13:16,586",19070,19098
7wulFI8BYtCDorbFC2yp,1.0,我看到可愛的筆就會忍不住想亂買,1,"00:13:16,587","00:13:19,047",19098,19157
8AulFI8BYtCDorbFC2yp,1.0,這種還有斑嘴環企鵝和冠企鵝,1,"00:13:20,758","00:13:23,218",19198,19257
